Listing_price,Sigma_estimate,Sold_price,Tax,Maintenance,Rental_dom,Rental_estimate,Rental_yield
699900.0,741661.0,730000.0,2513.0,611.0,20.0,2848.0,3.02
599999.0,641717.0,590000.0,2159.0,637.0,20.0,2354.0,2.63
649900.0,670824.0,715500.0,2351.0,430.0,11.0,2514.0,3.24
569000.0,603115.0,615000.0,2393.0,430.0,15.0,2325.0,3.18
699900.0,764010.0,700000.0,2843.0,665.0,14.0,3295.0,3.56
598000.0,640845.0,655000.0,2369.0,485.0,14.0,2300.0,2.86
579900.0,630286.0,572500.0,2210.0,386.0,14.0,2161.0,2.87
625000.0,633771.0,620000.0,2363.0,509.0,15.0,2200.0,2.66
589000.0,595506.0,580000.0,1889.0,371.0,20.0,2242.0,3.2
599000.0,664485.0,625000.0,2249.0,613.0,14.0,2050.0,2.11
649999.0,671406.0,601000.0,2379.0,421.0,21.0,1950.0,2.18
629000.0,629764.0,610000.0,2123.0,477.0,15.0,2135.0,2.65
580000.0,597796.0,542000.0,1845.0,338.0,22.0,1838.0,2.48
729900.0,728834.0,680000.0,2367.0,613.0,20.0,1991.0,1.76
699900.0,721751.0,683000.0,2573.0,697.0,20.0,2876.0,3.0
595000.0,613793.0,629000.0,2135.0,360.0,13.0,1954.0,2.63
689900.0,685504.0,685000.0,2145.0,886.0,19.0,2317.0,1.98
649999.0,714442.0,771555.0,3058.0,618.0,14.0,2635.0,2.79
699999.0,727778.0,720000.0,2534.0,439.0,8.0,3357.0,4.34
599888.0,650586.0,625000.0,1946.0,372.0,22.0,2091.0,2.64
699999.0,705789.0,652500.0,2378.0,541.0,20.0,2099.0,2.11
599000.0,686384.0,775000.0,2657.0,460.0,13.0,2306.0,2.69
619900.0,624682.0,608000.0,2117.0,366.0,17.0,2124.0,2.85
599900.0,614461.0,670000.0,2413.0,438.0,20.0,2200.0,2.81
688000.0,711785.0,695000.0,2725.0,671.0,21.0,3409.0,3.9
599800.0,630140.0,602000.0,2620.0,492.0,17.0,1990.0,2.35
699000.0,663994.0,645000.0,2465.0,379.0,19.0,2000.0,2.36
649000.0,636359.0,610000.0,2093.0,406.0,14.0,2077.0,2.64
699900.0,658333.0,620000.0,2717.0,655.0,21.0,3129.0,3.52
638800.0,674190.0,650000.0,2230.0,501.0,21.0,2051.0,2.25
699900.0,718868.0,746000.0,2717.0,885.0,17.0,2530.0,2.16
699000.0,735127.0,760000.0,3178.0,664.0,20.0,2761.0,2.7
699000.0,701252.0,730000.0,2393.0,477.0,23.0,2516.0,2.98
619000.0,626726.0,612000.0,2213.0,558.0,21.0,1943.0,2.07
599000.0,624453.0,618000.0,2415.0,387.0,23.0,1988.0,2.39
740000.0,714722.0,699000.0,3364.0,485.0,22.0,2265.0,2.23
585000.0,578679.0,580000.0,1535.0,989.0,16.0,2378.0,2.39
676700.0,675837.0,676700.0,2267.0,617.0,23.0,2500.0,2.74
699000.0,640386.0,620000.0,2717.0,484.0,23.0,2193.0,2.24
599999.0,633186.0,659000.0,2015.0,387.0,12.0,2107.0,2.86
699000.0,710168.0,699000.0,2495.0,654.0,23.0,2250.0,2.19
699000.0,720266.0,699000.0,2399.0,590.0,17.0,2358.0,2.48
699999.0,735282.0,741100.0,2765.0,345.0,10.0,2635.0,3.22
579900.0,577110.0,520000.0,2429.0,377.0,20.0,2550.0,3.67
599900.0,621300.0,598000.0,2189.0,473.0,20.0,2089.0,2.49
699900.0,722198.0,710000.0,2663.0,665.0,20.0,4224.0,5.0
599900.0,622510.0,565000.0,2015.0,358.0,18.0,2275.0,2.99
599800.0,619724.0,599800.0,2312.0,505.0,19.0,2150.0,2.71
649900.0,666482.0,647000.0,2159.0,444.0,14.0,2100.0,2.52
598000.0,660918.0,685000.0,2357.0,627.0,11.0,2892.0,3.65
699000.0,723902.0,760000.0,3472.0,682.0,20.0,2083.0,1.79
648800.0,652585.0,625000.0,2603.0,480.0,21.0,2233.0,2.53
