Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4869709,Unit 511 - 60 Tannery Rd,Waterfront Communities C8 - Toronto,Condo Apt,529000.0,497807.0,,1,1,0,,278.0,"water,heat",-,2020-08-13,2020-09-11,1769.0,3.38%,Front & Cherry,Apartment,W,"Live In One Of The Best Up And Coming Neighborhood's In Toronto. The Canary District Is Located Between The Distillery District And The Future ""East Harbour"" West Donlands. Beautiful Brand New 1 Bedroom Condo Is Designer Inspired. Amazing Open Floor Plan That Incudes 9' High Ceilings, Modern Kitchen With S/S Integrated Appliances, Caesar Stone Counters, And A Large Private Balcony. Amazing Opportunity To Own!
S/S Integrated Appliances ( B/I Microwave & Ceramic Top Stove, Fridge & Dishwasher) Washer/Dryer. All Light Fixtures."
C4895881,Unit 1105 - 60 Tannery Rd,Waterfront Communities C8 - Toronto,Condo Apt,789900.0,768879.0,2020-09-10,2+1,2,1,,588.0,"water,heat",New,2020-09-02,2020-09-10,2864.0,3.34%,Front St E/Cherry St,Apartment,S,"Brand New Contemporary 2+1 Bdrm, 2 Baths In Boutique Canary Block Bldg In Canary District! 1 Parking, 1 Locker Included. Master W/3-Pc Ensuite. Den Offers Private Space To Work From Home. Sleek Designer-Look Cabinetry. South Facing Unit With View Of Lake & Cn Tower From Large Balcony. Walk To Distillery, 18 Acre Park, Ymca, Restaurants, Cafes. Easy Access To Transit, Dvp, Gardiner. Mins To Financial Core. Great Amenities. Don't Miss This Fabulous Opportunity.
Fridge, Stove, B/I Dishwasher, Microwave. Washer, Dryer. All Window Coverings. All Electric Light Fixtures (Exclude: Chandelier In Living Rm - To Be Replaced With Standard Light Fixture)"
C4899269,Unit 319 - 25 The Esplanade,Waterfront Communities C8 - Toronto,Condo Apt,599900.0,596715.0,2020-09-04,1+1,1,0, 1769,418.0,"water,hydro,heat",-,2020-09-04,2020-09-04,2207.0,3.09%,Yonge/The Esplanade,Apartment,S,"Sunny South-Facing Suite In The Heart Of Downtown! Want To Avoid Elevators? Easily Take The Stairs To & From This 3rd Floor Unit! Walkscore 95, Bikescore 91, Transit Score 100! Great Starter Condo, Investment Property Or Pied-A-Terre In The City! Extremely Well Managed Building. Minutes Walk To Union Stn, Sony Centre, St. Lawrence Mrkt, Restaurants & All The Best Of The 6! Move-In As-Is Or Update To Your Exact Taste & Style! Easy Dvp & Gardiner Access, Too!
Includes: Fridge, Stove, Built-In Dishwasher, Clothes Washer & Dryer, All Elfs, Curtain Rods & Water Filtration System (As-Is). Lg Storage Locker On Same Floor As Unit! Rental Parking Nearby. Pool, Gym, 24 Hr Concierge, Party Room & More!"
C4864775,Unit 910 - 60 Tannery Rd,Waterfront Communities C8 - Toronto,Condo Apt,899000.0,913003.0,2020-08-10,3,2,1, 4500,580.0,"water,heat",-,2020-08-10,2020-08-10,3692.0,3.34%,Front And Cherry,Apartment,SW,"Brand New Designer 3 Bedroom With Incredible South West Exposure Filling This Unit With Tons Of Natural Light. Balcony Wraps Around The Entire Suite Adding Another 300 Sq Feet Of Space To This Spectacular Unit. This Never Lived In Unit Has Amazing Split Bedrooms, Lots Of Upgrades And Designer Colors.
Fridge, Stove Dishwasher, Washer/Dryer"
C4802018,Unit 824 W - 177 Front St E,Waterfront Communities C8 - Toronto,Condo Apt,579000.0,593346.0,2020-06-22,1,1,0,,323.0,"water,heat",New,2020-06-22,2020-06-22,1913.0,3.01%,Front/Sherbourne,Apartment,W,"Clear West Skyline Views From This Brand New Condo By Pemberton! Occupancy Estimated End Of 2022. Prime Location On Front St E & Sherbourne- Steps To Financial District, Union Station, St Lawrence Mkt & Waterfront! Functional 1 Bedroom, 1 Bath And Balcony! Excess Of Amenities Including Infinityedge Pool, Rooftop Cabanas, Outdoor Bbq Area, Basketball Court, Games Room, Gym, Yoga Studio, Party Room And More! This East Core Development Is Not To Be Missed!
9' High Smooth Ceilings, 7 1/2"" Wide Premium Laminate Flooring, Stacked Washer/Dryer 27"", S/S Appliances, Quartz Window Sills, Frameless Glass Shower, Roller Shades On All Windows And Doors."
C4740719,Unit 1409 - 16 Bonnycastle St,Waterfront Communities C8 - Toronto,Condo Apt,968000.0,948862.0,2020-06-18,2+1,2,1, 2177,521.0,heat,-,2020-04-10,2020-06-18,3500.0,3.3%,Queens Quay E/Lower Sherbourne,Apartment,SW,"Spacious & Bright 2 Split Brs Corner Unit Facing Southwest W/Amazing Lake & City & Park View ($40K Premium)! $$$ Upg'd: Flr To Ceiling Wndws, 9Ft Ceiling, Hardwood Flr, Wide Open Dining+Living Rm. Large Centre Island, S/S Appliances. Quick Easy Access To Waterfront, Sugar Beach, George Brown College, Loblaw, Dvp& Gardiner, Free Daily Shuttles To Union Station! 24 Hrs. Concierge, Lake View Infinity Pool, Steam Room, Sauna, Yoga & Pilates, Cafe, Bar, Billiard.
One Parking Included. Hi-End Integrated S/S Appliances, Fridge, Stove, Cooktop, Range Hood W/Microwave, Dishwasher, Ensuite Washer/Dryer, Blinds. All Blinds Included. All Elfs."
C4896032,Unit 508 - 15 Lower Jarvis St,Waterfront Communities C8 - Toronto,Condo Apt,685000.0,662145.0,2020-09-11,1+1,1,1, 1,448.0,"water,heat",-,2020-09-02,2020-09-10,2192.0,2.97%,Lower Jarvis & Queens Quay,Apartment,W,"Bright And Spacious, Brand New 1+1 745Sqft Daniels Built Condo In The Heart Of The City. Gourmet Kitchen With Quartz Countertops, S/S Miele Appliances. Upgraded 4 Piece Bath. Over 13K In Builder Upgrades. Murphy Bed For Guests, West View Of The City And Partial View Of The Lake From The Balcony. Comes W/ 1 Underground Parking (50K Value) 1 Locker. Conveniently Located Across Loblaws, Walking Distance To The Lake, Restaurants, Bars, Walking Trails.
Includes All Existing Miele S/S Appliances And Washer & Dryer. Basketball Court, Tennis Court, Gym, Party Room, Meeting Room. Exclude: Hot Water (If Rental)."
C4880308,Unit 702 - 39 Sherbourne St,Waterfront Communities C8 - Toronto,Condo Apt,499000.0,542527.0,2020-09-03,1,1,0, 2087,423.0,"water,heat",-,2020-08-21,2020-09-03,2035.0,2.97%,King St E & Sherbourne St,Apartment,S,"This 1 Bdrm Unit Has It All! Boutique Building? Yes. Historic Building Character With Modern Elements? Yes. Starbucks At Your Door? Yes. Grocery Store Around The Corner? Yes. Bright Modern Open Concept Layout With Wide Plank Flrs Throughout, 9' Smooth Ceilings. European Style Kitchen W/ High-End Built-In Appliances. Centre Island W/ Functional Roll-Out Dining Ext. Steps To Financial Core, St. Lawrence Market, Distillery District. 96 Walk Score!
Stove-Top, B/I Dishwasher, B/I Fridge, S/S Oven, S/S Microwave, S/S Hood Fan, Front Loading Washer & Dryer, Window Solar Shades. Perfect For A First Time Buyer, Investor-Super Easy To Rent Out, Or Just As A Pied-A-Terre In The City."
C4871254,Unit 2505 - 15 Lower Jarvis St,Waterfront Communities C8 - Toronto,Condo Apt,1029900.0,1018211.0,2020-08-28,2,2,1,,1.0,"water,heat",-,2020-08-13,2020-08-14,2650.0,2.97%,Queens Quay & Lower Jarvis,Apartment,SW,"Daniels Lighthouse West Tower Brings You Right To Toronto's Waterfront. Beaches, Waterfront Boardwalk, Arts And Entertainment. Spacious Brand New 2 Bed+2 Bath South West Corner Unit With Stunning Lake & Sugar Beach View! Wrap Around Balcony. Centrally Located At Lower Jarvis And Queens Quay. Close To Hwy, Loblaws, Sugar Bech, St Lawrence Market And The Distillery District. Fantastic Opportunity To Be By The Waterfront
Brand New Miele Appliances. Many Upgrades. Building Amenities Included 24 Hr Concierge, A Fitness Centre, Theatre, Arts & Crafts Studio, Garden Prep Studio,Tennis/Basketball Court & Gardening Plots & Much More. 1 Parking + 1 Locker Included"
C4898279,Unit Ph47 - 109 Front St E,Waterfront Communities C8 - Toronto,Condo Apt,750000.0,753520.0,2020-09-11,2,2,1, 2801,719.0,"water,hydro,heat",-,2020-09-04,2020-09-11,2500.0,2.28%,Jarvis & Front,Apartment,W,"Rarely Offered Gorgeous 2 Bed 2 Bath Condo, Unobstructed West Exposure Overlooking Historic St Lawrence Market Downtown And Cn Tower This Unit Also Includes Parking And Locker. This Spacious & Bright Unit Is West Facing. Living W/ Floor To Ceiling Windows, Laminate Floors, Spacious Bedrooms, Master En-Suite & Walk Thru Closet. Walk To Union Station, Financial District, Restaurants, Waterfront, Transit. Walk Score 100. 24 Hr Concierge.
Fridge, Stove, Dishwasher, Washer & Dryer, Window Coverings, Elf's, 1 Fob For Main Access, 2 Sets Of Keys, 1 Remote For Parking Garage. Status Certificate On Order."
