Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4924405,Unit 1505 - 85 Bloor St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 795,000","$802,495",2020-09-24,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,100","Condo Apt, Apartment",$790/month,-,800-899 feet²,None,"water,hydro,heat",19 days,22 day(s),2020-09-23,2020-09-23,"$3,075",2.75%,Bloor/Yonge,"Exercise Room, Recreation Room, Rooftop Deck/Garden, Security Guard",Ne,Toronto,"Luxury Corner Unit In Downtown Toronto. Steps To The Subway, Yorkville, Restaurants And Shopping. 9' Ceilings, Granite Countertops And Laminated Floors In Lr/Dr/Kitchen, 24 Hr Concierge, 1 Parking Spot And 1 Locker"
C4923104,Unit 310 - 28 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 529,000","$536,825",2020-09-22,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,603","Condo Apt, Apartment",$287/month,0-5,0-499 feet²,None,"water,heat",20 days,22 day(s),2020-09-22,2020-09-22,"$1,758",2.75%,Yonge / Wellesley,,N,Toronto,"Investors Opportunity. Must Assume Tenant (Lease Ends 30 Sep 2021). Cresford 5 Star Condo Living At Subway Station Of Yonge / Wellesley, Low Maintenance Fee, Luxury 1 Bedroom Unit, Marble Countertop, Floor To Ceiling Windows, 9"" Ceiling. Quality&Style, Elegant Finish, Super Clean And Mint Condition, Efficient Layout, Bright&Spacious. Soaring 20 Ft Lobby. Hotel-Inspired Amenities, Fully-Equipped Gym& 24Hr Concierge, Walk To U Of T, Major Hospitals Institutions"
C4918384,Unit 3007 - 159 Dundas St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 630,000","$638,051",2020-09-18,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,615","Condo Apt, Apartment",$536/month,0-5,600-699 feet²,None,"water,heat",24 days,22 day(s),2020-09-18,2020-09-18,"$2,430",2.87%,Dundas & Jarvis,"Concierge, Exercise Room, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Security Guard",N,Toronto,"4 Years New This Luxury Pace Condo Has An Unobstructed View And Has 2 Bedrooms, 2 Full Washrooms & Huge Balcony. Walk To Subway, Ryerson, Eaton Centre, Dundas Square, University Of Toronto. Split Bedroom Plan Offers A Very Functional And Spacious Layout, Especially If Sharing. 1 Owned Locker And Bicycle Storage. Great For Students Or First Time Buyers Wanting To Get Into The Market. Clean And Well Maintained. Lowest Priced 2 Bedroom 2/Bath In The Bldg."
C4926449,Unit 104 - 35 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 534,900","$552,762",2020-09-30,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,666","Condo Apt, Apartment",$317/month,0-5,500-599 feet²,None,"water,heat",18 days,22 day(s),2020-09-24,2020-09-29,"$1,830",2.74%,Yonge / Bloor,"Concierge, Exercise Room, Indoor Pool, Visitor Parking",E,Toronto,"Rare Find! One Of A Kind Junior One Bedroom @Yonge & Bloor. Unit Features 9Ft Ceiling, New Laminate Flooring, Freshly Renovated Bath, Spacious Terrace. Only 6 Units With Terrace In The Building. Possible Live/Work Scenario. The Best Of Downtown Living From The Luxury Shopping, Excellent Universities, Major Hospitals, Bloor Office Towers, Trails And Parks."
C4839886,Unit 4210 - 101 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 950,000","$978,474",2020-10-11,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,394","Condo Apt, Apartment",$497/month,0-5,800-899 feet²,None,"water,heat",84 days,23 day(s),2020-07-20,2020-10-07,"$3,215",2.73%,Charles & Ted Rogers,"Concierge, Guest Suites, Gym, Outdoor Pool, Rooftop Deck/Garden, Visitor Parking",Ne,Toronto,"Luxury Yorkville Living! 4 Years New X2 Condo Built By Great Gulf In Downtown. Spacious 2B Corner Suite With Wrap-Around Windows. Sunny Bright South East Exposure. Luxurious Finishes Inc 9 Ft Ceiling, Floor-To-Ceiling Windows, Granite Counter, Engineered Wood Flooring. Steps To Yonge & Bloor Subway, Shopping, Yorkville, Fine Dining & Cafes. Short Ride To U Of T & Ryerson"
C4875464,Unit 902 - 8 Colborne St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 408,800","$424,438",2020-08-27,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,535","Condo Apt, Apartment",$652/month,-,0-499 feet²,None,"water,heat",55 days,22 day(s),2020-08-18,2020-08-27,"$1,943",2.95%,Yonge & King,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room",N,Toronto,"Beautiful Fully Furnished Move-In Ready One Bedroom At The Cosmopolitan In The Heart Of Downtown. 24Hour Concierge. Walk To Union Station And The Path, Harbourfront, Entertainment District. Close To Ryerson, George Brown, St Lawrence Market, Eaton Centre, Theatre & Countless Restaurants. Maintenance Fees Include All Utilities Except Internet And Cable."
C4917616,Unit 720 - 35 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 619,999","$625,883",2020-09-18,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,399","Condo Apt, Apartment",$482/month,-,500-599 feet²,None,"water,heat",25 days,22 day(s),2020-09-17,2020-09-17,"$2,280",2.8%,Yonge/Bloor,"Concierge, Guest Suites, Gym, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Desirable Location In The Heart Of The City. Conveniently Located Directly Across The Street From The Yonge & Bloor Subway Stn. Fantastic 1 Bdrm, 1 Bath Functional Flr Plan W/Balcony. Steps To Yorkville, U Of T, Ryerson, Shopping, Restaurants, Cafes, Schools, Libraries & More.Terrific Amenities: 24Hr Concierge, Indoor Pool & Hot Tub, Gym, Outdoor Terrace,Guest Suites,Visitor's Prking, Business Centre. 1 Parking 1 Locker Included."
C4932214,Unit 2905 - 159 Dundas St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,000","$732,064",2020-09-29,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 3,400","Condo Apt, Apartment",$638/month,-,700-799 feet²,Other,"water,heat",13 days,22 day(s),2020-09-29,2020-09-29,"$2,839",2.86%,Dundas/Jarvis,"Bbqs Allowed, Concierge, Exercise Room, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"Well-Appointed Corner Unit With South-East Exposure. Large Balcony With Panoramic Lakeview. Closed To Ryerson University, George Brown College, Eaton Centre, St. Michael Hospital, Yonge Subway Line, Streetcar And More. Laminated Floors Thruout. Very Bright Unit. Amenities Include: 24/7 Concierge, Pool, Rooftop Garden, Party Room, Gym, Sauna, Billiard Room. 772 Sqft. Unit. Larger Than Most 2-Br Units In The Building. Can Also Be Sold With Parking If Needed."
C4911441,Unit 336 - 22 Leader Lane,Church-Yonge Corridor - Toronto,Condo Apt,"$ 549,000","$586,832",2020-09-14,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,285","Condo Apt, Apartment",$604/month,-,500-599 feet²,None,"water,heat",28 days,22 day(s),2020-09-14,2020-09-14,"$2,264",2.72%,Yonge / King,"Concierge, Guest Suites, Gym, Party/Meeting Room",N,Toronto,"Welcome To The King Edward Private Residences. Boutique Living In The Heart Of Downtown Toronto. Steps To Financial District, The Path, Subway, Streetcar, Grocery, Parks, Shops, Dining And More! One Of Toronto's Most Iconic Addresses, This 1 Bedroom Features Upgraded Finishes Throughout, Great Functional Layout, Bedroom Window, Kitchen Has Stone Counters, Tile Backsplash, Integrated Designer Appliances. 4 Pc Bath Features Marble Tile Floor And Subway Tiles."
C4922009,Unit 409 - 115 Richmond St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,900","$714,926",2020-09-22,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,555","Condo Apt, Apartment",$739/month,-,700-799 feet²,None,"water,hydro,heat",21 days,22 day(s),2020-09-21,2020-09-21,"$2,737",2.72%,Richmond/Jarvis,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Se,Toronto,"Rarely Available 2 Bdrms, 2 Bath, Parking & Locker In The French Quarter Building On Richmond St E, Great Boutique Condo In Fantastic Location, Bright Corner Unit W/3 Juliette Balconies/Frnch Drs That Opn & 1 Outside Balcony, Full Of High End Upgrades & Features, Amazing 9' Ceiling Height, Crwn Mldings Thru-Out Reno'd Bthrms, Kitchen, Upgraded Cabinetry, Granite Counters, High End Appl, Designer Lighting, Pottery Barn Rods & Many More. Ready To Move In!"
