Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4791240,Unit 603 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,278,000","$1,266,776",As of 2020-09-05,2 Bedrooms,2 Bathrooms,0 Garage,$ -,$721/month,water,New,2020-06-12,2020-09-05,"$2,590",1.67%,Millwood/ Laird,Apartment,E,"Custom Designed W/Quality Features Affiliated With Shane Baghai's Brand. Exclusive Boutique Building In Friendly Leaside Neighbourhood With Easy Accessibility To Shopping, Restaurants, Lrt, Hospital & Downtown. Latest Energy Saving Led Lighting, 250 W Generator In Case Of Power Outage For The Entire Building & Residences. Smart Home Devises. This Is Refined Luxury At Its Best.
Latest Miele Appliances, Gas Cooktop, S/S Bbq On Balcony, Smart 80' Tv, Linear Fireplace, All Motorized Window Shades, Solid Core Doors, 10' Baseboards, Remotely Operated Locks, Conduits For Electric Cars. Parking & Locker Available"
C4886419,Unit 604 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,283,141","$1,321,840",As of 2020-09-05,2 Bedrooms,2 Bathrooms,0 Garage,$ -,$688/month,water,New,2020-08-26,2020-09-05,"$2,590",1.63%,Millwood/ Laird,Apartment,Ne,"Bright 2 Bedroom Corner Suite W/2 Balconies In This 7 Storey Boutique Building By Master Builder Shane Baghai. Floor To Ceiling Windows In Lr, Imported Italian Cabinets And Vanities, Smart Home Devices, And Much More. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet.
Latest Meile Appliances, Gas Cooktop, S/S Bbq On Terrace., Smart 85' Tv, Liner Electric Fireplace W/Exquisite Wood Trimming, Spacious Shelving, Motorized Window Shades, Solid Core Doors, 10' Baseboards, Imported Italian Cabinets & Vanities."
C4886284,Unit 503 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,290,141","$1,329,150",As of 2020-09-07,2 Bedrooms,2 Bathrooms,0 Garage,$ -,$692/month,"water,heat",New,2020-08-26,2020-09-07,"$2,590",1.62%,Millwood/ Laird,Apartment,E,"One Of A Kind 2 Bedroom Suite In This 7 Storey Boutique Building By Master Builder Shane Baghai. Established In A Perfect Blend Of Style & Community Charm That Is Home To Lucious Green Space & Parkland. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet
Latest Meile Appliances, Gas Cooktop, S/S Bbq On Terrace., Smart 85' Tv, Liner Electric Fireplace W/Exquisite Wood Trimming, Spacious Shelving, Motorized Window Shades, Solid Core Doors, 10' Baseboards, Imported Italian Cabinets & Vanities."
C4886665,Unit 406 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,350,000","$1,385,315",As of 2020-08-26,2 Bedrooms,2 Bathrooms,1 Garage,$ -,$698/month,"water,heat",New,2020-08-26,2020-08-26,"$2,556",1.52%,Millwood/Laird,Apartment,Nw,"One Of A Kind Brand New And Bright Corner Suite With Ultimate Luxury In This 7 Story Boutique Building Within Walking Distance To All Amenities. Live Amongst The Best Shopping Districts And Ten Minutes Drive To Downtown Toronto Via Bayview Extension.
Latest Miele Appliances: Fridge, Gas Stove, Oven, Microwave ,Dishwasher. Washer/Dryer, S/S Bbq On Terrace,85"" Tv, Fireplace, Solid Core Doors,10' Baseboards, Imported Italian Cabinets And Vanities."
C4899018,Unit 302 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,520,141","$1,485,340",As of 2020-09-04,3 Bedrooms,3 Bathrooms,0 Garage,$ 2,$898/month,water,New,2020-09-04,2020-09-04,"$2,723",1.38%,Mill Wood/ Laird,Apartment,Se,"Corner Suite With 3 Exposures( Wse) And3 Balconies In This Exclusive 7 Story Boutique Building In Leaside W/ Luxury Finishes Associated With Master Builder Shane Baghai. Latest Energy Saving Led Lighting, 250 Kw Generator In Case Of A Power Outage For The Entire Building And Residences, Smart Homes Devices.Maintenance Includes Internet.Parkin, Locker Extra.
Latest Miele Appliances, Gas Cooktop, S/S Bbq On Balcony, Smart 82"" Tv, Linear Fireplace, All Window Shades( Motorized),Solid Core Doors, 10"" Baseboards, Remotely Operated Locks, Italian Cabinetry& Vanities, Conduits For Electric Cars."
C4791228,Unit 501 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,534,000","$1,522,869",As of 2020-09-04,2+1 Bedrooms,3 Bathrooms,0 Garage,$ 2,$929/month,water,New,2020-06-12,2020-09-04,"$2,715",1.32%,Millwood/Laird,Apartment,Sw,"Exclusive 7 Storey, 38 Suite Boutique Building In Leaside W/Luxury Finishes Associated With Master Builder Shane Baghai. Latest Energy Saving Led Lighting, Smart Home Devices, 250 Kw Generator In Case Of A Power Outage For The Entire Building & Suites. Building Is Under Construction.
Latest Miele Appliances, Gas Cooktop, S/S Bbq On Balcony, Linear Fireplace W/82' Tv & Exquisite Wood Trimming & Shelves, Motorized Window Shades Throughout, Solid Core Doors, 10' Baseboards, Imported Italian Cabinets & Vanities."
C4789877,Unit 702 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,665,140","$1,713,824",As of 2020-09-04,3 Bedrooms,2 Bathrooms,0 Garage,$ -,$895/month,water,New,2020-06-11,2020-09-04,"$2,757",1.22%,Millwood/ Laird,Apartment,Sw,"One Of A Kind Penthouse Suite W/Wrap Around Terrace In This 7 Storey Boutique Building By Master Builder Shane Baghai. Established In A Perfect Blend Of Style & Community Charm That Is Home To Lucious Green Space & Parkland. Finiset Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet
Latest Meile Appliances, Gas Cooktop, S/S Bbq On Terrace., Smart 82' Tv, Liner Electric Fireplace W/Exquisite Wood Trimming, Spacious Shelving, Motorized Window Shades, Solid Core Doors, 10' Baseboards, Imported Italian Cabinets & Vanities."
C4905605,Unit 318 - 211 Randolph Rd,Leaside - Toronto,Condo Apt,"$ 1,048,000","$1,081,175",As of 2020-09-11,4 Bedrooms,3 Bathrooms,1 Garage,"$ 5,318",$1147/month,water,16-30,2020-09-10,2020-09-11,"$2,774",1.19%,Eglinton & Laird,Apartment,S,"Spacious Light Filled 4 Bedrooms. 3 Baths, Family Condo In Prime Leaside, 1992 Square Feet On One Level. Separate Living/Dining, Family Rooms & Study, New Engineered Floors. Newley Renovated Master Ensuite. Wood Plantation Shutters Throughout, 2 Furnace Systems, 2 Lockers, 2 Ensuite Storage Rooms. This Location Has It All, Close To Great Schools, Biking Trails, Shopping, 2 Blocks From The New Lrt. Pet Friendly. Communal Garden And Outdoor Sitting Area.
Lg Stainless Steel Appliances, Fridge, Stove, Dishwasher, Microwave, Washer & Dryer, Central Vac, 2 Furnaces, 3 Wall Mounted Televisions, All Electric Light Fixtures."
C4898510,Unit 402 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,760,000","$1,725,488",As of 2020-09-04,3 Bedrooms,3 Bathrooms,2 Garage,$ -,$1053/month,water,New,2020-09-03,2020-09-04,"$2,698",1.07%,Millwood/ Laird,Apartment,Se,"Ultimate Luxury In This 7 Storey Boutique Building Within Walking Distance To All Amenities. Ten Minute Drive To Downtown Toronto Via Bayview Extension. Building Offers Exclusive Access To All The Luxury Amenities.
Latest Miele Appliances, Staked Washer/Dryer/S/S Bbq On Balcony, Motorized Window Coverings, 85' Tv Above Fireplace, Elfs, Two Parking Spots & 1 Locker Included. This Is An Assignment Sale."
E4885020,Unit 302 - 507 Kingston Rd,The Beaches - Toronto,Condo Apt,"$ 868,513","$892,755",As of 2020-08-27,2+1 Bedrooms,3 Bathrooms,1 Garage,$ -,$636/month,"water,heat",New,2020-08-25,2020-08-27,"$3,126",3.22%,Kingston Rd/Woodbine Ave,Apartment,N,"Live At The View Beach Residences. Only $799/Sq Ft!! Unobstructed North View Overlooking Peaceful Greenery. Great Space In Every Room & Huge Terrace W Gas Line. Linear Fireplace, 9 Ft Ceilings. Gourmet Kitchen W Custom, State-Of-The-Art Aya Kitchen Cabinetry. Full Size Appliances Including Fisher/Paykel Gas Stove, Wide Plank Flooring & Imported Ceramic/ Marble Tiles. 30 Unit Mid Rise In The Heart Of The Beaches!
1079 Sq Ft Of Well Laid Out Space! Access To The View Club, A Private Facility For Exercise & Social Engagements. See Virt Tour For Walkthru Video. Sales Centre Open By Appointment. Parking Extra$60K, Locker$8500. Client Inquiries Welcome."
